timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,PRODUCT_A,9998,8,9997,15,9996,18,10000,8,10001,15,10002,18,9999.57,0
0,PRODUCT_B,4999,8,4998,9,4997,5,5001,8,5002,9,5003,5,5000.0,0
0,X,1499,23,1498,30,1497,17,1500,23,1501,30,1502,17,1500.0,0
0,Y,799,20,798,23,797,6,800,20,801,23,802,6,800.0,0
0,Z,2999,14,2998,10,2997,9,3001,14,3002,10,3003,9,3000.0,0
0,PRODUCT_C,14178,26,14177,19,14176,7,14181,26,14182,19,14183,7,14180.0,0
0,PRODUCT_D,9998,25,9997,7,9996,12,10001,25,10002,7,10003,12,10000.0,0
0,PRODUCT_D_OPTION,526,11,525,9,524,10,528,11,529,9,530,10,527.88,0
0,PRODUCT_E,1999,15,1998,19,1997,9,2001,15,2002,19,2003,9,2000.0,0
100,PRODUCT_A,9998,15,9997,14,9996,16,10000,15,10001,14,10002,16,9999.48,0
100,PRODUCT_B,5001,18,5000,6,4999,17,5003,18,5004,6,5005,17,5002.47,0
100,X,1500,12,1499,11,1498,24,1501,12,1502,11,1503,24,1501.15,0
100,Y,800,24,799,7,798,9,801,24,802,7,803,9,801.38,0
100,Z,2998,23,2997,25,2996,20,3000,23,3001,25,3002,20,2999.72,0
100,PRODUCT_C,14171,8,14170,30,14169,5,14174,8,14175,30,14176,5,14172.77,0
100,PRODUCT_D,9999,9,9998,14,9997,22,10002,9,10003,14,10004,22,10000.63,0
100,PRODUCT_D_OPTION,537,7,536,20,535,8,539,7,540,20,541,8,538.45,0
100,PRODUCT_E,2005,19,2004,15,2003,10,2007,19,2008,15,2009,10,2006.65,0
200,PRODUCT_A,9998,14,9997,10,9996,7,10000,14,10001,10,10002,7,9999.67,0
200,PRODUCT_B,5003,13,5002,16,5001,16,5005,13,5006,16,5007,16,5004.25,0
200,X,1502,7,1501,7,1500,10,1503,7,1504,7,1505,10,1502.52,0
200,Y,801,27,800,29,799,19,802,27,803,29,804,19,802.4,0
200,Z,2999,13,2998,20,2997,13,3001,13,3002,20,3003,13,3000.1,0
200,PRODUCT_C,14229,29,14228,19,14227,25,14232,29,14233,19,14234,25,14231.36,0
200,PRODUCT_D,9999,9,9998,8,9997,23,10002,9,10003,8,10004,23,10001.41,0
200,PRODUCT_D_OPTION,485,20,484,6,483,16,487,20,488,6,489,16,486.47,0
200,PRODUCT_E,2000,14,1999,17,1998,18,2002,14,2003,17,2004,18,2001.41,0
300,PRODUCT_A,10001,9,10000,19,9999,16,10003,9,10004,19,10005,16,10002.11,0
300,PRODUCT_B,4997,15,4996,16,4995,7,4999,15,5000,16,5001,7,4998.94,0
300,X,1503,26,1502,18,1501,21,1504,26,1505,18,1506,21,1504.24,0
300,Y,803,19,802,13,801,26,804,19,805,13,806,26,803.83,0
