date,stock_id,sector,momentum,value,quality,size,low_vol,fwd_return
2022-01-07,STK000,Tech,0.6802145004963318,0.0021470584815016878,1.5982418703082861,0.5713473954804541,-0.656905324063241,0.069547
2022-01-14,STK000,Tech,0.3199176492030807,0.8574182318694687,0.09857782454609612,0.5494354162617092,-1.203586563328836,-0.060361
2022-01-21,STK000,Tech,0.32372782615277296,0.5818390368451366,-0.15314111676159858,0.49725799947274707,-0.5726622818359711,-1.096009
2022-01-28,STK000,Tech,0.5330841885071828,1.7516584191588438,-0.7088480976568329,0.6103095680468087,-0.5838598295200444,1.840633
2022-02-04,STK000,Tech,0.44434302447206153,1.4196298809848538,-1.059357874665601,0.5239822682921738,-0.04257399763841562,1.137447
2022-02-11,STK000,Tech,0.3895898818935024,1.9035562072747712,-0.10479347751787241,0.5187965653704927,-1.1989528689107654,-0.306986
2022-02-18,STK000,Tech,-0.04255125393045896,0.8093726257999974,0.7754945817189258,0.6309468880000513,-0.8045522281746958,-1.705705
2022-02-25,STK000,Tech,0.14819774169593405,0.05888847507822113,1.0408571010058432,0.6599954972640691,-0.44172650391657275,-2.446831
2022-03-04,STK000,Tech,0.4920137790352808,-0.20275937891114457,-0.12879808375502388,0.7192947814331467,-0.1024867665438429,1.956777
2022-03-11,STK000,Tech,0.8417118659014043,-1.3147064354074878,-0.0031018302896797037,0.5120702478662795,-0.11124770037517023,-0.019036
2022-03-18,STK000,Tech,1.6532695581292376,-0.7317698245348012,-0.08803214692698799,0.6095952854745345,-0.13229859589509183,0.957995
2022-03-25,STK000,Tech,1.1704841777610306,-0.3199939022959874,0.08603037072175887,0.519849950397496,0.23026008133582285,-0.761261
2022-04-01,STK000,Tech,1.2659914642673575,0.3034285322589821,0.8449564997208788,0.5935178338685986,-1.541317850810437,-0.254998
2022-04-08,STK000,Tech,1.1525031732882256,0.03654920788136007,-0.00322984536988849,0.582113743074521,-1.5543123282126585,-0.158687
2022-04-15,STK000,Tech,0.6527749587073731,0.2989027878259952,0.08037736120089674,0.4828415197742266,-0.5923053843848631,0.545854
2022-04-22,STK000,Tech,1.1559601714094707,-0.07040525799836288,0.9894870540963265,0.6163442728086111,0.17535286599178682,0.113491
2022-04-29,STK000,Tech,0.7268432286436849,0.48557341448063496,-0.7481392989181783,0.5898671195190954,-0.7904576463726986,-0.810202
2022-05-06,STK000,Tech,1.1249689317097578,0.3389152298497536,-0.9022792378894776,0.6201716659488913,-0.5339046817198803,-0.632192
